 getPopulationofCountry French Guiana Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
48029 getPopulationofCountry Seychelles Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
31731367 getPopulationofCountry Canada Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
 getPopulationofCountry Equatorial Guinea Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
1070 getPopulationofCountry Tokelau Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
276340 getPopulationofCountry Swaziland Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
30376 getPopulationofCountry Palau Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
3645095 getPopulationofCountry Uganda Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
7571439 getPopulationofCountry Kenya Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
1680347 getPopulationofCountry Chad Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
6340891 getPopulationofCountry Guatemala Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
32847337 getPopulationofCountry Ukraine Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
3988332 getPopulationofCountry Paraguay Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
233433 getPopulationofCountry Bhutan Zone:1  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server1)
361020 getPopulationofCountry Comoros Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
3318037 getPopulationofCountry Honduras Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
134594036 getPopulationofCountry Brazil Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
21079844 getPopulationofCountry Peru Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
1907246 getPopulationofCountry Tajikistan Zone:3  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server3)
29145131 getPopulationofCountry Poland Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
1565638 getPopulationofCountry Togo Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
369776 getPopulationofCountry Guyana Zone:2  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server2)
374575 getPopulationofCountry Guadeloupe Zone:5  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server5)
3989252 getPopulationofCountry Nepal Zone:4  (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms), processed by Server Server4)
